id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2766343,None,Yes,None,Machine wash or professional dry clean,None,Baby Blue,100% Cotton,"Ruffle, Wrap, Ruffle Hem, Belted",Non-Stretch,Regular Fit,Wrap,Short,None,Cotton,V neck,Plain,None,Summer,No,None,Short Sleeve,Butterfly Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/07/1623051559b74bb56de3abf1a90b91d17133274f6f_thumbnail_405x552.jpg,US$17.74
2781319,None,None,None,Machine wash or professional dry clean,None,Baby Blue,"95% Polyester, 5% Elastane","Asymmetrical, Split",Medium Stretch,Slim Fit,Pencil,Short,None,Polyester,One Shoulder,Plain,None,Spring/Summer,No,None,Long Sleeve,Flounce Sleeve,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/21/162425237140cd65d908a8ebb99d7ec95d6d7d359f_thumbnail_405x552.jpg,US$10.08
2785973,None,None,None,Machine wash or professional dry clean,None,Lilac Purple,100% Polyester,"Wrap, Backless, Shirred",Non-Stretch,Regular Fit,Flared,Short,None,Polyester,Spaghetti Strap,Ditsy Floral,None,Summer,No,None,Sleeveless,None,Boho,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/21/162421287005a98a27f5d0738aaa97727464298e86_thumbnail_405x552.jpg,US$16.46
2794107,None,None,None,Machine wash or professional dry clean,None,Blue,100% Polyester,Ruffle Hem,Non-Stretch,Regular Fit,Flounce,Knee Length,None,Polyester,Square Neck,Ditsy Floral,None,Spring/Summer,No,None,Long Sleeve,Bishop Sleeve,Boho,A Line,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/08/16257301822364d391e36a4ba3a547a7bdd357c4ef_thumbnail_405x552.jpg,US$25.39
2796355,None,None,None,Machine wash or professional dry clean,None,Navy Blue,100% Polyester,Zipper,Medium Stretch,Regular Fit,Pleated,Knee Length,None,Polyester,Round Neck,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Fit and Flare,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/07/162306361188495b042662ab9db7c85375d31413fb_thumbnail_405x552.jpg,US$17.74
2805225,None,None,None,Machine wash or professional dry clean,None,Pink,100% Polyester,None,Non-Stretch,Slim Fit,Pencil,Mini,None,Polyester,One Shoulder,Plain,None,Spring/Summer,No,None,Long Sleeve,Puff Sleeve,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/21/162427910793547a8c099c9b09d60d3971ac632876_thumbnail_405x552.jpg,US$24.12
2807203,None,None,None,Machine wash or professional dry clean,None,Mint Green,100% Polyester,"Frill, Zipper, Tie Front",Non-Stretch,Regular Fit,Flared,Short,None,Polyester,Sweetheart,Plain,None,Spring/Summer,No,None,Long Sleeve,Bishop Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/22/1624355517ddd13d6ceb2c519117bbc27ba8a5d3ef_thumbnail_405x552.jpg,US$17.74
2819768,None,Yes,None,Machine wash or professional dry clean,None,Coral Orange,100% Cotton,"Ruffle, Wrap, Cut Out, Tie Back, Zipper, Tie Front",Non-Stretch,Regular Fit,Wrap,Short,None,Cotton,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Boho,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/10/1623293653b7911e2fe8c6f7b3322be790b197dac5_thumbnail_405x552.jpg,US$15.18
2825463,None,Yes,None,Machine wash or professional dry clean,None,Green,100% Polyester,"Wrap, Knot",Slight Stretch,Regular Fit,Asymmetrical,Long,None,Polyester,V neck,Gingham,None,Summer,No,None,Short Sleeve,Butterfly Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/03/1622701301f82ed74adb5ebefa26d408c83f848465_thumbnail_405x552.jpg,US$26.67
2825603,None,None,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,"Ruffle, Cut Out, Ruffle Hem, Button",Non-Stretch,Regular Fit,Flounce,Midi,None,Polyester,Round Neck,All Over Print,None,Summer,No,None,Short Sleeve,Regular Sleeve,Casual,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/16244246939b34e5cfbc1546492daff996115b2d0d_thumbnail_405x552.jpg,US$15.18
2832962,None,Yes,No,Machine wash or professional dry clean,None,Dark Green,100% Polyester,"Button, Split, Shirred",Non-Stretch,Regular Fit,Flared,Long,None,Polyester,Off the Shoulder,Plain,None,Summer,No,None,Three Quarter Length Sleeve,Puff Sleeve,Casual,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/10/1623317874f0727f42b9b21fe936d067d4f500e1e1_thumbnail_405x552.jpg,US$21.56
2836689,None,None,None,Machine wash or professional dry clean,None,Multicolor,"97% Polyester, 3% Elastane",Shirred,Non-Stretch,Regular Fit,Flared,Short,None,Polyester,Square Neck,"Floral, All Over Print",None,Spring/Summer,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/15/16237294400cddf449e5f7b11dd34de8576cb15915_thumbnail_405x552.jpg,US$17.74
2837451,None,None,None,Machine wash or professional dry clean,None,Burgundy,"80% Polyester, 20% Cotton","Ruffle, Wrap, Tie Front",Non-Stretch,Regular Fit,Wrap,Maxi,None,Polyester,V neck,Ditsy Floral,None,Spring/Summer,No,None,Half Sleeve,Butterfly Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/21/16242145871ff581c71a0e3527539143702ec8c203_thumbnail_405x552.jpg,US$22.84
