id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2963560,None,None,None,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Elastane",None,Medium Stretch,Regular Fit,Straight,Short,None,Polyester,Scoop Neck,Graphic,None,Summer,No,None,Short Sleeve,Regular Sleeve,Casual,Tee,None,http://img.ltwebstatic.com/images3_pi/2021/07/09/1625804022ca8f1aafc6a05c7b73de1cf610f6d08b_thumbnail_405x552.jpg,US$12.63
2964199,None,None,None,Machine wash or professional dry clean,None,Mocha Brown,"94% Viscose, 6% Elastane",Ruched,Medium Stretch,Slim Fit,Pencil,Knee Length,None,Viscose,Round Neck,Plain,None,Spring/Summer,No,None,Long Sleeve,Regular Sleeve,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/08/28/1630147294985b724292d1baec997ee259f9873e8b_thumbnail_405x552.jpg,US$22.84
2964347,None,None,None,Machine wash or professional dry clean,None,Mustard Yellow,100% Cotton,None,Non-Stretch,Regular Fit,Flared,Short,None,Cotton,V neck,Plain,None,Summer,No,None,Short Sleeve,Regular Sleeve,Casual,Smock,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/29/16249548723d2dd279758b11851b5e05dfdc0605a5_thumbnail_405x552.jpg,US$12.63
2964451,None,None,None,Machine wash or professional dry clean,None,Dusty Pink,"95% Polyester, 5% Elastane","Backless, Cut Out, Criss Cross, Tie Back, Twist",Non-Stretch,Regular Fit,Straight,Midi,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/30/1625031710f98d7f07f5cf268a83c4432e445e1a3a_thumbnail_405x552.jpg,US$12.63
2965106,Yes,None,None,Machine wash or professional dry clean,None,Grey,"50% Cotton, 50% Polyester","Double Button, Knot",Non-Stretch,Regular Fit,Straight,Long,None,Cotton,Deep V Neck,Plaid,None,Spring/Fall,No,None,Sleeveless,Regular Sleeve,Preppy,Pinafore,Natural,http://img.ltwebstatic.com/images3_pi/2021/08/10/1628562328a120f668b1a75d54af740d1666fff19c_thumbnail_405x552.jpg,US$26.67
2965699,None,Yes,None,Machine wash or professional dry clean,None,Army Green,"72% Polyester, 24% Cotton, 4% Elastane","Belted, Rib-Knit",Slight Stretch,Slim Fit,Pencil,Mini,None,Polyester,Round Neck,Plain,None,Summer,No,None,Sleeveless,None,Casual,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/02/1625195896534503056fd310b7b34a41c8a98c91a2_thumbnail_405x552.jpg,US$16.46
2965992,None,Yes,None,Machine wash or professional dry clean,None,Beige,100% Cotton,"Ruffle, Belted, Button Front",Non-Stretch,Regular Fit,Flared,Midi,None,Cotton,V neck,Plain,None,Spring/Fall,No,None,Long Sleeve,Flounce Sleeve,Cute,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/23/16270425613da15094117ad443c6cf345fde595324_thumbnail_405x552.jpg,US$25.39
2966630,None,None,Unlined,Machine wash or professional dry clean,None,Multicolor,"65% Polyester, 35% Cotton","Ruched, Zipper",Slight Stretch,Regular Fit,Flared,Midi,None,Mesh,V neck,Ditsy Floral,None,Spring/Summer,Semi-Sheer,None,Three Quarter Length Sleeve,Regular Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/28/1624861631300e41ff13103572ee928b6754d2e902_thumbnail_405x552.jpg,US$30.50
2966667,None,None,None,Machine wash or professional dry clean,None,Orange,100% Polyester,Zipper,Non-Stretch,Slim Fit,Pencil,Short,None,Glitter,Deep V Neck,None,None,All,No,None,Long Sleeve,Regular Sleeve,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/16244157468cef6347dda102930b4fc17c7ab3aedf_thumbnail_405x552.jpg,US$48.36
2966691,None,None,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Ruffle, Split Thigh",Non-Stretch,Regular Fit,Slit,Maxi,None,Sequins,One Shoulder,Plain,None,All,No,None,Sleeveless,None,Glamorous,Fitted,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/162441577275fdc2091daa03578e864e6621c2cd2c_thumbnail_405x552.jpg,US$68.78
2966790,None,None,None,Machine wash or professional dry clean,None,Army Green,"97% Polyester, 3% Spandex","Backless, Ruched, Zipper",Non-Stretch,Slim Fit,Pencil,Knee Length,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/1624411861229894893a8efc539eb23851ae087fa5_thumbnail_405x552.jpg,US$45.81
2966873,None,None,None,Machine wash or professional dry clean,None,White,"95.7% Polyester, 4.3% Elastane","Scallop, Split, Zipper",Slight Stretch,Slim Fit,Pencil,Knee Length,None,Polyester,Halter,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/1624412356de6bd1a8df79c325a61bed31bed58d01_thumbnail_405x552.jpg,US$39.43
2966974,None,None,None,Machine wash or professional dry clean,None,Chocolate Brown,"95% Polyester, 5% Elastane","Cut Out, Rib-Knit",Medium Stretch,Slim Fit,Pencil,Mini,None,Polyester,Round Neck,Plain,None,Spring,No,None,Long Sleeve,Regular Sleeve,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/01/16251075865971a6d6a0b2aad88ef0ef2f088445b3_thumbnail_405x552.jpg,US$16.46
